hdr;country;code;ind;anno
51;Uruguay;URY;11.9;2010
52;Bulgaria;BGR;24.1;2010
53;Kazakhstan;KAZ;11.4;2010
54;Bahamas, The;BHS;0.0;2010
55;Panama;PAN;9.7;2010
56;Mauritius;MUS;21.6;2010
57;Trinidad and Tobago;TTO;0.0;2010
58;Costa Rica;CRI;11.6;2010
59;Serbia;SRB;16.1;2010
60;Cuba;CUB;11.5;2010
61;Iran, Islamic Rep.;IRN;24.4;2010
62;Georgia;GEO;0.0;2010
63;Turkey;TUR;15.9;2010
64;Venezuela, RB;VEN;11.8;2010
65;Sri Lanka;LKA;24.8;2010
66;Albania;ALB;0.0;2010
67;Lebanon;LBN;0.0;2010
68;Mexico;MEX;16.0;2010
69;Azerbaijan;AZE;6.1;2010
70;Brazil;BRA;0.0;2010
71;Bosnia and Herzegovina;BIH;0.0;2010
72;Armenia;ARM;5.9;2010
73;Ukraine;UKR;15.3;2010
74;Jordan;JOR;0.0;2010
75;Peru;PER;10.6;2010
76;Thailand;THA;18.2;2010
77;Ecuador;ECU;0.0;2010
78;China;CHN;0.0;2010
79;Fiji;FJI;0.0;2010
80;Mongolia;MNG;11.7;2010
81;Jamaica;JAM;6.9;2010
82;Colombia;COL;15.7;2010
83;Suriname;SUR;0.0;2010
84;Tunisia;TUN;0.0;2010
85;Dominican Republic;DOM;9.6;2010
86;Tonga;TON;0.0;2010
87;Libya;LBY;0.0;2010
88;Belize;BLZ;0.0;2010
89;Samoa;WSM;0.0;2010
90;Maldives;MDV;16.6;2010
91;Uzbekistan;UZB;0.0;2010
92;Moldova;MDA;12.3;2010
93;Botswana;BWA;10.3;2010
94;Gabon;GAB;0.0;2010
95;Paraguay;PRY;8.5;2010
96;Egypt, Arab Rep.;EGY;0.0;2010
97;Turkmenistan;TKM;0.0;2010
98;Indonesia;IDN;0.0;2010
99;Vietnam;VNM;0.0;2010
100;Philippines;PHL;9.9;2010
101;El Salvador;SLV;18.4;2010
102;Bolivia;BOL;0.0;2010
103;South Africa;ZAF;13.1;2010
104;Kyrgyz Republic;KGZ;0.0;2010
105;Iraq;IRQ;0.0;2010
106;Morocco;MAR;0.0;2010
107;Nicaragua;NIC;0.0;2010
108;Guatemala;GTM;0.0;2010
109;Namibia;NAM;0.0;2010
110;Tajikistan;TJK;0.0;2010
111;Honduras;HND;0.0;2010
112;India;IND;17.8;2010
113;Bhutan;BTN;6.7;2010
114;Congo, Dem. Rep.;COD;0.0;2010
115;Lao PDR;LAO;0.0;2010
116;Bangladesh;BGD;13.3;2010
117;Ghana;GHA;13.4;2010
118;Zambia;ZMB;0.0;2010
119;Cambodia;KHM;15.5;2010
120;Nepal;NPL;0.0;2010
121;Myanmar;MMR;0.0;2010
122;Kenya;KEN;0.0;2010
123;Pakistan;PAK;0.0;2010
124;Syrian Arab Republic;SYR;0.0;2010
125;Tanzania;TZA;0.0;2010
126;Nigeria;NGA;14.8;2010
127;Cameroon;CMR;0.0;2010
128;Papua New Guinea;PNG;0.0;2010
129;Zimbabwe;ZWE;0.0;2010
130;Mauritania;MRT;0.0;2010
131;Rwanda;RWA;0.0;2010
132;Lesotho;LSO;0.0;2010
133;Senegal;SEN;0.0;2010
134;Haiti;HTI;0.0;2010
135;Uganda;UGA;0.0;2010
136;Sudan;SDN;0.0;2010
137;Togo;TGO;0.0;2010
138;Benin;BEN;7.2;2010
139;Yemen, Rep.;YEM;0.0;2010
140;Afghanistan;AFG;0.0;2010
141;Malawi;MWI;0.0;2010
142;Cote d'Ivoire;CIV;0.0;2010
143;Gambia, The;GMB;0.0;2010
144;Ethiopia;ETH;17.3;2010
145;Mali;MLI;0.0;2010
146;Congo, Rep.;COG;0.0;2010
147;Liberia;LBR;5.3;2010
148;Sierra Leone;SLE;0.0;2010
149;Mozambique;MOZ;0.0;2010
150;Burundi;BDI;0.0;2010
151;Burkina Faso;BFA;0.0;2010
152;Chad;TCD;0.0;2010
153;Central African Republic;CAF;0.0;2010
1;Norway;NOR;7.2;2015
2;Switzerland;CHE;9.6;2015
3;Australia;AUS;7.7;2015
4;Germany;DEU;13.9;2015
5;Denmark;DNK;9.6;2015
6;Singapore;SGP;11.8;2015
7;Netherlands;NLD;5.6;2015
8;Ireland;IRL;8.5;2015
9;Iceland;ISL;6.9;2015
10;Canada;CAN;8.6;2015
11;United States;USA;8.3;2015
12;New Zealand;NZL;10.1;2015
13;Sweden;SWE;6.8;2015
14;United Kingdom;GBR;7.6;2015
15;Japan;JPN;14.6;2015
16;Korea, Rep.;KOR;13.8;2015
17;Israel;ISR;8.0;2015
18;Luxembourg;LUX;4.1;2015
19;France;FRA;9.4;2015
20;Belgium;BEL;8.4;2015
21;Finland;FIN;8.7;2015
22;Austria;AUT;12.2;2015
23;Slovenia;SVN;18.0;2015
24;Italy;ITA;13.3;2015
25;Spain;ESP;8.7;2015
26;Czech Republic;CZE;23.7;2015
27;Greece;GRC;8.0;2015
28;Estonia;EST;17.5;2015
29;Cyprus;CYP;6.5;2015
30;Malta;MLT;8.9;2015
31;Qatar;QAT;5.9;2015
32;Poland;POL;16.4;2015
33;Lithuania;LTU;16.5;2015
34;Chile;CHL;11.5;2015
35;Saudi Arabia;SAU;1.6;2015
36;Slovak Republic;SVK;20.7;2015
37;Portugal;PRT;15.2;2015
38;United Arab Emirates;ARE;0.0;2015
39;Hungary;HUN;18.9;2015
40;Latvia;LVA;12.8;2015
41;Argentina;ARG;0.0;2015
42;Croatia;HRV;15.1;2015
43;Bahrain;BHR;0.0;2015
44;Montenegro;MNE;7.1;2015
45;Russian Federation;RUS;16.2;2015
46;Romania;ROU;20.0;2015
47;Kuwait;KWT;0.0;2015
48;Belarus;BLR;0.0;2015
49;Oman;OMN;0.0;2015
50;Barbados;BRB;9.6;2015
51;Uruguay;URY;9.8;2015
52;Bulgaria;BGR;22.8;2015
53;Kazakhstan;KAZ;11.5;2015
54;Bahamas, The;BHS;0.0;2015
55;Panama;PAN;9.5;2015
56;Mauritius;MUS;17.0;2015
57;Trinidad and Tobago;TTO;0.0;2015
58;Costa Rica;CRI;9.6;2015
59;Serbia;SRB;16.9;2015
60;Cuba;CUB;0.0;2015
61;Iran, Islamic Rep.;IRN;23.8;2015
62;Georgia;GEO;0.0;2015
63;Turkey;TUR;16.2;2015
64;Venezuela, RB;VEN;0.0;2015
65;Sri Lanka;LKA;25.7;2015
66;Albania;ALB;13.8;2015
67;Lebanon;LBN;0.0;2015
68;Mexico;MEX;16.5;2015
69;Azerbaijan;AZE;5.9;2015
70;Brazil;BRA;0.0;2015
71;Bosnia and Herzegovina;BIH;14.1;2015
72;Armenia;ARM;7.6;2015
73;Ukraine;UKR;13.9;2015
74;Jordan;JOR;0.0;2015
75;Peru;PER;9.9;2015
76;Thailand;THA;20.8;2015
77;Ecuador;ECU;10.5;2015
78;China;CHN;0.0;2015
79;Fiji;FJI;0.0;2015
80;Mongolia;MNG;13.1;2015
81;Jamaica;JAM;5.7;2015
82;Colombia;COL;13.6;2015
83;Suriname;SUR;0.0;2015
84;Tunisia;TUN;0.0;2015
85;Dominican Republic;DOM;9.7;2015
86;Tonga;TON;0.0;2015
87;Libya;LBY;0.0;2015
88;Belize;BLZ;8.0;2015
89;Samoa;WSM;0.0;2015
90;Maldives;MDV;0.0;2015
91;Uzbekistan;UZB;0.0;2015
92;Moldova;MDA;11.9;2015
93;Botswana;BWA;0.0;2015
94;Gabon;GAB;0.0;2015
95;Paraguay;PRY;9.8;2015
96;Egypt, Arab Rep.;EGY;0.0;2015
97;Turkmenistan;TKM;0.0;2015
98;Indonesia;IDN;15.9;2015
99;Vietnam;VNM;19.6;2015
100;Philippines;PHL;10.0;2015
101;El Salvador;SLV;0.0;2015
102;Bolivia;BOL;0.0;2015
103;South Africa;ZAF;11.7;2015
104;Kyrgyz Republic;KGZ;10.8;2015
105;Iraq;IRQ;0.0;2015
106;Morocco;MAR;0.0;2015
107;Nicaragua;NIC;0.0;2015
108;Guatemala;GTM;16.5;2015
109;Namibia;NAM;0.0;2015
110;Tajikistan;TJK;0.0;2015
111;Honduras;HND;21.1;2015
112;India;IND;0.0;2015
113;Bhutan;BTN;9.2;2015
114;Congo, Dem. Rep.;COD;0.0;2015
115;Lao PDR;LAO;0.0;2015
116;Bangladesh;BGD;0.0;2015
117;Ghana;GHA;0.0;2015
118;Zambia;ZMB;0.0;2015
119;Cambodia;KHM;0.0;2015
120;Nepal;NPL;0.0;2015
121;Myanmar;MMR;0.0;2015
122;Kenya;KEN;0.0;2015
123;Pakistan;PAK;0.0;2015
124;Syrian Arab Republic;SYR;0.0;2015
125;Tanzania;TZA;0.0;2015
